transaction_id,customer_id,product_code,product_category,transaction_date,quantity,unit_price,gross_revenue,net_revenue,tax_amount,reconciliation_status,source_vs_gl_variance,gl_vs_bank_variance,days_to_post
TXN-0000025,C0024,P036,Clothing,2024-05-30,8,12.28,117.88,98.23,19.65,GL_VARIANCE,3.9,0.0,1
TXN-0000026,C0122,P026,Clothing,2024-10-10,10,9.23,110.71,92.26,18.45,MATCHED,0.0,0.0,4
TXN-0000027,C0180,P023,Services,2024-08-20,6,151.77,1092.72,910.6,182.12,MATCHED,0.0,0.0,2
TXN-0000028,C0031,P020,Clothing,2024-10-01,4,13.16,63.16,52.63,10.53,MATCHED,0.0,0.0,5
TXN-0000029,C0135,P012,Services,2024-11-01,5,125.97,755.82,629.85,125.97,BANK_VARIANCE,0.0,30.76,2
TXN-0000030,C0078,P007,Software,2024-01-08,6,145.75,1049.36,874.47,174.89,MATCHED,0.0,0.0,5
TXN-0000031,C0075,P035,Software,2024-12-23,1,344.94,413.93,344.94,68.99,MISSING_IN_GL,0.0,0.0,1
TXN-0000032,C0123,P041,Furniture,2024-08-13,1,360.54,432.65,360.54,72.11,BANK_VARIANCE,0.0,5.13,2
TXN-0000033,C0017,P012,Services,2024-07-24,8,194.82,1870.32,1558.6,311.72,MATCHED,0.0,0.0,3
TXN-0000034,C0145,P005,Services,2024-06-04,3,364.14,1310.92,1092.43,218.49,MATCHED,0.0,0.0,0
TXN-0000035,C0058,P016,Electronics,2024-09-24,10,60.99,731.89,609.91,121.98,BANK_VARIANCE,0.0,24.12,3
TXN-0000036,C0079,P029,Software,2024-10-18,10,93.14,1117.66,931.38,186.28,MATCHED,0.0,0.0,4
TXN-0000037,C0068,P004,Clothing,2024-12-04,4,21.22,101.84,84.87,16.97,MATCHED,0.0,0.0,0
TXN-0000038,C0105,P011,Electronics,2024-08-18,3,257.94,928.58,773.82,154.76,MATCHED,0.0,0.0,5
TXN-0000039,C0180,P039,Services,2024-08-20,5,192.78,1156.67,963.89,192.78,MATCHED,0.0,0.0,0
TXN-0000040,C0109,P044,Software,2024-02-28,10,42.51,510.08,425.07,85.01,MATCHED,0.0,0.0,4
TXN-0000041,C0016,P015,Software,2024-03-25,3,245.24,882.88,735.73,147.15,MATCHED,0.0,0.0,2
TXN-0000042,C0177,P039,Services,2024-06-04,5,259.75,1558.5,1298.75,259.75,GL_VARIANCE,8.08,0.0,5
TXN-0000043,C0011,P026,Clothing,2024-08-09,8,14.36,137.81,114.84,22.97,GL_VARIANCE,0.47,0.0,5
TXN-0000044,C0006,P021,Furniture,2024-12-10,4,70.28,337.33,281.11,56.22,BANK_VARIANCE,0.0,8.26,2
TXN-0000045,C0167,P037,Furniture,2024-08-14,8,14.01,134.48,112.07,22.41,MISSING_IN_GL,0.0,0.0,2
TXN-0000046,C0121,P012,Services,2024-06-27,8,199.54,1915.6,1596.33,319.27,MATCHED,0.0,0.0,3
TXN-0000047,C0106,P022,Software,2024-12-21,3,163.6,588.95,490.79,98.16,MATCHED,0.0,0.0,3
TXN-0000048,C0117,P019,Clothing,2024-02-15,9,9.96,107.56,89.63,17.93,MATCHED,0.0,0.0,2
TXN-0000049,C0001,P017,Services,2024-12-02,7,112.56,945.52,787.93,157.59,MISSING_IN_GL,0.0,0.0,4
TXN-0000050,C0161,P030,Clothing,2024-08-14,6,11.2,80.63,67.19,13.44,BANK_VARIANCE,0.0,2.54,0
TXN-0000051,C0125,P014,Furniture,2024-03-03,5,36.02,216.14,180.12,36.02,GL_VARIANCE,7.93,0.0,0
TXN-0000052,C0142,P041,Furniture,2024-01-08,3,94.22,339.19,282.66,56.53,MATCHED,0.0,0.0,4
TXN-0000053,C0166,P027,Software,2024-03-19,2,159.96,383.89,319.91,63.98,GL_VARIANCE,15.15,0.0,3
TXN-0000054,C0063,P046,Clothing,2024-08-21,7,8.04,67.52,56.27,11.25,GL_VARIANCE,2.76,0.0,4
TXN-0000055,C0018,P010,Clothing,2024-05-21,9,7.17,77.42,64.52,12.9,MATCHED,0.0,0.0,3
TXN-0000056,C0186,P022,Software,2024-06-01,1,950.69,1140.83,950.69,190.14,MATCHED,0.0,0.0,4
TXN-0000057,C0089,P038,Furniture,2024-06-19,3,133.22,479.6,399.67,79.93,GL_VARIANCE,10.77,0.0,4
TXN-0000058,C0179,P049,Software,2024-05-02,6,109.6,789.08,657.57,131.51,MATCHED,0.0,0.0,4
TXN-0000059,C0191,P025,Software,2024-08-30,1,425.17,510.2,425.17,85.03,MATCHED,0.0,0.0,5
TXN-0000060,C0033,P025,Software,2024-09-14,3,179.85,647.47,539.56,107.91,GL_VARIANCE,26.03,0.0,4
TXN-0000061,C0135,P022,Software,2024-08-21,8,112.78,1082.74,902.28,180.46,MATCHED,0.0,0.0,0
TXN-0000062,C0121,P047,Electronics,2024-05-15,3,214.87,773.53,644.61,128.92,MATCHED,0.0,0.0,2
TXN-0000063,C0098,P040,Services,2024-06-11,6,205.21,1477.5,1231.25,246.25,MISSING_IN_GL,0.0,0.0,5
TXN-0000064,C0159,P046,Clothing,2024-02-05,9,12.21,131.84,109.87,21.97,MATCHED,0.0,0.0,1
TXN-0000065,C0112,P041,Furniture,2024-02-20,4,76.33,366.38,305.32,61.06,MATCHED,0.0,0.0,5
TXN-0000066,C0012,P046,Clothing,2024-06-15,5,21.71,130.24,108.53,21.71,MATCHED,0.0,0.0,0
TXN-0000067,C0106,P019,Clothing,2024-10-16,4,15.56,74.71,62.26,12.45,MISSING_IN_GL,0.0,0.0,5
TXN-0000068,C0128,P012,Services,2024-10-25,7,86.28,724.78,603.98,120.8,BANK_VARIANCE,0.0,20.63,1
TXN-0000069,C0120,P015,Software,2024-05-27,5,119.17,715.03,595.86,119.17,MATCHED,0.0,0.0,5
TXN-0000070,C0109,P035,Software,2024-12-19,6,61.41,442.18,368.48,73.7,BANK_VARIANCE,0.0,5.52,2
TXN-0000071,C0098,P030,Clothing,2024-10-19,7,15.15,127.3,106.08,21.22,GL_VARIANCE,0.57,0.0,2
TXN-0000072,C0071,P037,Furniture,2024-01-05,1,188.76,226.51,188.76,37.75,MATCHED,0.0,0.0,4
TXN-0000073,C0074,P044,Software,2024-04-27,10,83.37,1000.48,833.73,166.75,GL_VARIANCE,34.72,0.0,4
TXN-0000074,C0161,P023,Services,2024-02-19,5,132.56,795.37,662.81,132.56,MATCHED,0.0,0.0,5
TXN-0000075,C0034,P042,Clothing,2024-02-16,1,33.55,40.26,33.55,6.71,BANK_VARIANCE,0.0,0.62,2
TXN-0000076,C0094,P021,Furniture,2024-09-28,3,108.08,389.09,324.24,64.85,MISSING_IN_GL,0.0,0.0,4
TXN-0000077,C0192,P018,Electronics,2024-06-22,8,196.39,1885.37,1571.14,314.23,MATCHED,0.0,0.0,0
TXN-0000078,C0143,P030,Clothing,2024-07-06,4,29.16,139.99,116.66,23.33,MATCHED,0.0,0.0,0
TXN-0000079,C0173,P026,Clothing,2024-12-10,8,3.91,37.5,31.25,6.25,MATCHED,0.0,0.0,2
TXN-0000080,C0173,P038,Furniture,2024-04-29,6,35.72,257.17,214.31,42.86,MATCHED,0.0,0.0,3
TXN-0000081,C0017,P002,Electronics,2024-11-21,6,214.4,1543.67,1286.39,257.28,BANK_VARIANCE,0.0,14.25,3
TXN-0000082,C0010,P045,Services,2024-06-04,3,254.21,915.16,762.63,152.53,MATCHED,0.0,0.0,3
TXN-0000083,C0117,P008,Services,2024-07-08,3,172.21,619.96,516.63,103.33,MATCHED,0.0,0.0,5
TXN-0000084,C0107,P048,Software,2024-12-01,10,77.24,926.83,772.36,154.47,MATCHED,0.0,0.0,0
TXN-0000085,C0177,P032,Services,2024-07-08,5,227.76,1366.54,1138.78,227.76,MATCHED,0.0,0.0,1
TXN-0000086,C0176,P029,Software,2024-07-07,6,97.25,700.22,583.52,116.7,MATCHED,0.0,0.0,4
TXN-0000087,C0117,P042,Clothing,2024-02-16,4,15.57,74.74,62.28,12.46,MATCHED,0.0,0.0,5
TXN-0000088,C0086,P014,Furniture,2024-05-04,1,292.51,351.01,292.51,58.5,MATCHED,0.0,0.0,1
TXN-0000089,C0151,P037,Furniture,2024-04-20,9,17.95,193.87,161.56,32.31,MATCHED,0.0,0.0,1
TXN-0000090,C0071,P022,Software,2024-03-15,10,83.08,996.94,830.78,166.16,MATCHED,0.0,0.0,1
TXN-0000091,C0004,P035,Software,2024-07-02,1,437.99,525.59,437.99,87.6,MATCHED,0.0,0.0,1
TXN-0000092,C0190,P038,Furniture,2024-08-03,1,197.13,236.56,197.13,39.43,MATCHED,0.0,0.0,4
TXN-0000093,C0152,P008,Services,2024-02-25,6,215.8,1553.76,1294.8,258.96,MISSING_IN_GL,0.0,0.0,3
TXN-0000094,C0118,P033,Software,2024-11-25,9,46.24,499.39,416.16,83.23,MATCHED,0.0,0.0,0
TXN-0000095,C0126,P004,Clothing,2024-12-30,7,17.12,143.84,119.87,23.97,MATCHED,0.0,0.0,3
TXN-0000096,C0033,P005,Services,2024-05-20,3,493.04,1774.94,1479.12,295.82,MATCHED,0.0,0.0,4
TXN-0000097,C0117,P041,Furniture,2024-09-15,7,39.37,330.73,275.61,55.12,BANK_VARIANCE,0.0,7.32,4
TXN-0000098,C0111,P028,Electronics,2024-08-19,9,64.88,700.67,583.89,116.78,MATCHED,0.0,0.0,1
TXN-0000099,C0081,P027,Software,2024-08-06,7,72.03,605.04,504.2,100.84,MATCHED,0.0,0.0,2
TXN-0000100,C0024,P043,Clothing,2024-02-13,8,6.62,63.53,52.94,10.59,MATCHED,0.0,0.0,0
TXN-0000101,C0016,P028,Electronics,2024-10-27,3,193.45,696.43,580.36,116.07,MISSING_IN_GL,0.0,0.0,4
TXN-0000102,C0185,P036,Clothing,2024-01-27,6,9.95,71.6,59.67,11.93,MATCHED,0.0,0.0,2
TXN-0000103,C0040,P039,Services,2024-12-02,9,86.1,929.93,774.94,154.99,MATCHED,0.0,0.0,3
TXN-0000104,C0030,P015,Software,2024-05-22,9,98.38,1062.55,885.46,177.09,MATCHED,0.0,0.0,4
TXN-0000105,C0143,P015,Software,2024-01-14,10,85.54,1026.5,855.42,171.08,BANK_VARIANCE,0.0,28.87,4
TXN-0000106,C0180,P043,Clothing,2024-06-07,3,34.88,125.58,104.65,20.93,MATCHED,0.0,0.0,2
TXN-0000107,C0018,P023,Services,2024-03-13,10,40.73,488.8,407.33,81.47,MATCHED,0.0,0.0,5
TXN-0000108,C0097,P041,Furniture,2024-08-02,9,43.5,469.85,391.54,78.31,MATCHED,0.0,0.0,3
TXN-0000109,C0014,P022,Software,2024-03-20,6,61.34,441.67,368.06,73.61,BANK_VARIANCE,0.0,10.98,1
TXN-0000110,C0125,P049,Software,2024-11-06,5,142.68,856.06,713.38,142.68,GL_VARIANCE,23.61,0.0,3
TXN-0000111,C0111,P027,Software,2024-02-26,2,227.44,545.86,454.88,90.98,MATCHED,0.0,0.0,2
TXN-0000112,C0057,P044,Software,2024-07-21,5,151.77,910.63,758.86,151.77,MATCHED,0.0,0.0,4
TXN-0000113,C0196,P004,Clothing,2024-05-10,4,7.67,36.83,30.69,6.14,MATCHED,0.0,0.0,2
TXN-0000114,C0034,P021,Furniture,2024-07-13,7,19.43,163.2,136.0,27.2,MATCHED,0.0,0.0,4
TXN-0000115,C0102,P046,Clothing,2024-01-22,6,8.45,60.85,50.71,10.14,MATCHED,0.0,0.0,3
TXN-0000116,C0104,P002,Electronics,2024-12-29,6,178.45,1284.8,1070.67,214.13,BANK_VARIANCE,0.0,22.99,5
TXN-0000117,C0159,P027,Software,2024-08-23,6,77.86,560.57,467.14,93.43,MATCHED,0.0,0.0,5
TXN-0000118,C0151,P024,Electronics,2024-07-24,4,142.25,682.78,568.98,113.8,MATCHED,0.0,0.0,4
TXN-0000119,C0086,P006,Software,2024-03-27,6,91.14,656.2,546.83,109.37,MATCHED,0.0,0.0,0
TXN-0000120,C0090,P033,Software,2024-11-26,4,181.23,869.9,724.92,144.98,MATCHED,0.0,0.0,1
TXN-0000121,C0195,P016,Electronics,2024-12-01,3,196.26,706.55,588.79,117.76,BANK_VARIANCE,0.0,4.51,0
TXN-0000122,C0115,P012,Services,2024-12-14,8,192.69,1849.86,1541.55,308.31,BANK_VARIANCE,0.0,58.57,4
TXN-0000123,C0113,P042,Clothing,2024-02-04,6,14.53,104.62,87.18,17.44,MATCHED,0.0,0.0,3
TXN-0000124,C0091,P029,Software,2024-09-16,10,72.35,868.25,723.54,144.71,MATCHED,0.0,0.0,0
TXN-0000125,C0020,P020,Clothing,2024-11-26,6,11.93,85.87,71.56,14.31,MATCHED,0.0,0.0,0
TXN-0000126,C0190,P040,Services,2024-01-22,10,111.29,1335.48,1112.9,222.58,MISSING_IN_GL,0.0,0.0,3
TXN-0000127,C0039,P037,Furniture,2024-02-01,8,36.94,354.66,295.55,59.11,MISSING_IN_GL,0.0,0.0,3
TXN-0000128,C0166,P007,Software,2024-03-29,2,429.12,1029.88,858.23,171.65,MISSING_IN_GL,0.0,0.0,0
TXN-0000129,C0157,P016,Electronics,2024-03-22,9,156.14,1686.35,1405.29,281.06,MISSING_IN_GL,0.0,0.0,2
TXN-0000130,C0162,P024,Electronics,2024-11-27,6,281.54,2027.05,1689.21,337.84,BANK_VARIANCE,0.0,4.43,2
TXN-0000131,C0065,P005,Services,2024-12-02,7,113.66,954.76,795.63,159.13,MATCHED,0.0,0.0,4
TXN-0000132,C0080,P010,Clothing,2024-12-01,3,20.0,72.0,60.0,12.0,MATCHED,0.0,0.0,5
TXN-0000133,C0144,P043,Clothing,2024-07-11,2,32.64,78.34,65.28,13.06,MATCHED,0.0,0.0,5
TXN-0000134,C0166,P022,Software,2024-12-09,9,95.54,1031.87,859.89,171.98,MATCHED,0.0,0.0,3
TXN-0000135,C0088,P033,Software,2024-09-05,3,173.79,625.64,521.37,104.27,MATCHED,0.0,0.0,1
TXN-0000136,C0130,P015,Software,2024-10-03,5,200.0,1199.98,999.98,200.0,MATCHED,0.0,0.0,5
TXN-0000137,C0153,P034,Services,2024-07-11,10,44.53,534.36,445.3,89.06,MATCHED,0.0,0.0,1
TXN-0000138,C0185,P011,Electronics,2024-08-12,10,69.41,832.97,694.14,138.83,MATCHED,0.0,0.0,0
TXN-0000139,C0192,P027,Software,2024-08-17,8,65.4,627.86,523.22,104.64,BANK_VARIANCE,0.0,7.46,1
TXN-0000140,C0095,P035,Software,2024-12-13,8,53.67,515.26,429.38,85.88,MATCHED,0.0,0.0,4
TXN-0000141,C0136,P029,Software,2024-08-02,7,85.18,715.51,596.26,119.25,MISSING_IN_GL,0.0,0.0,1
TXN-0000142,C0165,P013,Clothing,2024-09-03,5,20.42,122.53,102.11,20.42,MATCHED,0.0,0.0,2
TXN-0000143,C0073,P036,Clothing,2024-02-12,9,12.68,136.91,114.09,22.82,MATCHED,0.0,0.0,1
TXN-0000144,C0057,P018,Electronics,2024-08-18,7,150.94,1267.9,1056.58,211.32,MATCHED,0.0,0.0,2
TXN-0000145,C0099,P002,Electronics,2024-02-11,6,168.35,1212.13,1010.11,202.02,MATCHED,0.0,0.0,2
TXN-0000146,C0036,P015,Software,2024-01-20,6,45.19,325.37,271.14,54.23,MATCHED,0.0,0.0,2
TXN-0000147,C0021,P031,Software,2024-01-10,8,96.51,926.46,772.05,154.41,GL_VARIANCE,23.76,0.0,2
TXN-0000148,C0109,P014,Furniture,2024-02-26,10,35.05,420.59,350.49,70.1,MISSING_IN_GL,0.0,0.0,2
TXN-0000149,C0029,P016,Electronics,2024-09-12,7,122.36,1027.86,856.55,171.31,BANK_VARIANCE,0.0,19.58,4
TXN-0000150,C0075,P035,Software,2024-08-07,4,65.58,314.8,262.33,52.47,MATCHED,0.0,0.0,0
TXN-0000151,C0135,P040,Services,2024-07-03,3,274.46,988.06,823.38,164.68,MATCHED,0.0,0.0,0
TXN-0000152,C0006,P034,Services,2024-07-18,9,116.99,1263.48,1052.9,210.58,MISSING_IN_GL,0.0,0.0,3
TXN-0000153,C0092,P003,Electronics,2024-02-04,5,261.63,1569.79,1308.16,261.63,MATCHED,0.0,0.0,2
TXN-0000154,C0035,P016,Electronics,2024-01-23,10,143.95,1727.36,1439.47,287.89,MATCHED,0.0,0.0,2
TXN-0000155,C0035,P035,Software,2024-02-02,8,62.99,604.69,503.91,100.78,GL_VARIANCE,15.92,0.0,5
TXN-0000156,C0052,P050,Furniture,2024-01-22,4,95.77,459.7,383.08,76.62,MATCHED,0.0,0.0,2
TXN-0000157,C0193,P020,Clothing,2024-11-27,9,8.49,91.66,76.38,15.28,GL_VARIANCE,0.97,0.0,1
TXN-0000158,C0032,P019,Clothing,2024-07-07,6,10.36,74.56,62.13,12.43,MATCHED,0.0,0.0,3
TXN-0000159,C0048,P026,Clothing,2024-09-11,7,13.84,116.28,96.9,19.38,MATCHED,0.0,0.0,5
TXN-0000160,C0187,P032,Services,2024-08-05,5,168.16,1008.98,840.82,168.16,MATCHED,0.0,0.0,0
TXN-0000161,C0083,P028,Electronics,2024-02-22,9,140.37,1515.97,1263.31,252.66,MATCHED,0.0,0.0,0
TXN-0000162,C0043,P021,Furniture,2024-12-19,10,29.83,357.94,298.28,59.66,MATCHED,0.0,0.0,3
TXN-0000163,C0071,P023,Services,2024-11-23,6,156.09,1123.87,936.56,187.31,BANK_VARIANCE,0.0,46.74,0
TXN-0000164,C0008,P005,Services,2024-03-14,9,133.94,1446.5,1205.42,241.08,MATCHED,0.0,0.0,4
TXN-0000165,C0200,P044,Software,2024-11-26,2,417.99,1003.18,835.98,167.2,MATCHED,0.0,0.0,2
TXN-0000166,C0174,P024,Electronics,2024-08-18,10,96.69,1160.22,966.85,193.37,MATCHED,0.0,0.0,2
TXN-0000167,C0094,P024,Electronics,2024-07-22,3,349.77,1259.18,1049.32,209.86,MISSING_IN_GL,0.0,0.0,2
TXN-0000168,C0128,P042,Clothing,2024-09-22,1,55.08,66.1,55.08,11.02,MATCHED,0.0,0.0,3
TXN-0000169,C0157,P036,Clothing,2024-05-26,8,5.08,48.72,40.6,8.12,MATCHED,0.0,0.0,5
TXN-0000170,C0183,P032,Services,2024-08-15,2,320.11,768.25,640.21,128.04,GL_VARIANCE,5.54,0.0,0
TXN-0000171,C0141,P044,Software,2024-10-04,6,162.61,1170.8,975.67,195.13,MATCHED,0.0,0.0,2
TXN-0000172,C0131,P020,Clothing,2024-04-24,3,35.54,127.94,106.62,21.32,MATCHED,0.0,0.0,0
TXN-0000173,C0093,P013,Clothing,2024-10-10,8,12.66,121.55,101.29,20.26,MATCHED,0.0,0.0,4
TXN-0000174,C0017,P024,Electronics,2024-06-07,3,360.33,1297.2,1081.0,216.2,BANK_VARIANCE,0.0,47.79,3
TXN-0000175,C0082,P046,Clothing,2024-11-24,7,13.53,113.64,94.7,18.94,BANK_VARIANCE,0.0,0.36,0
TXN-0000176,C0164,P029,Software,2024-10-27,3,199.79,719.24,599.37,119.87,MISSING_IN_GL,0.0,0.0,1
TXN-0000177,C0133,P050,Furniture,2024-03-19,1,389.88,467.86,389.88,77.98,MATCHED,0.0,0.0,2
TXN-0000178,C0133,P011,Electronics,2024-05-25,4,167.16,802.39,668.66,133.73,MATCHED,0.0,0.0,0
TXN-0000179,C0161,P017,Services,2024-06-04,5,127.11,762.67,635.56,127.11,MATCHED,0.0,0.0,4
TXN-0000180,C0169,P035,Software,2024-11-15,10,32.01,384.08,320.07,64.01,BANK_VARIANCE,0.0,2.48,5
TXN-0000181,C0021,P039,Services,2024-01-24,1,805.14,966.17,805.14,161.03,MATCHED,0.0,0.0,5
TXN-0000182,C0159,P050,Furniture,2024-11-23,10,27.3,327.64,273.03,54.61,MATCHED,0.0,0.0,0
TXN-0000183,C0176,P032,Services,2024-07-26,5,293.36,1760.16,1466.8,293.36,GL_VARIANCE,17.97,0.0,2
TXN-0000184,C0124,P030,Clothing,2024-08-25,8,4.57,43.88,36.57,7.31,MATCHED,0.0,0.0,1
TXN-0000185,C0103,P022,Software,2024-03-07,6,117.5,846.0,705.0,141.0,MATCHED,0.0,0.0,2
TXN-0000186,C0069,P033,Software,2024-08-18,8,83.91,805.49,671.24,134.25,MATCHED,0.0,0.0,1
TXN-0000187,C0041,P010,Clothing,2024-06-16,7,5.53,46.45,38.71,7.74,BANK_VARIANCE,0.0,0.82,4
TXN-0000188,C0120,P047,Electronics,2024-09-12,8,109.02,1046.6,872.17,174.43,MISSING_IN_GL,0.0,0.0,2
TXN-0000189,C0056,P032,Services,2024-10-25,9,47.53,513.37,427.81,85.56,GL_VARIANCE,20.68,0.0,2
TXN-0000190,C0138,P004,Clothing,2024-01-05,8,4.32,41.46,34.55,6.91,MATCHED,0.0,0.0,0
TXN-0000191,C0094,P028,Electronics,2024-01-24,6,105.13,756.97,630.81,126.16,MATCHED,0.0,0.0,3
TXN-0000192,C0019,P004,Clothing,2024-07-16,9,9.04,97.6,81.33,16.27,MATCHED,0.0,0.0,4
TXN-0000193,C0025,P029,Software,2024-07-20,10,82.33,987.96,823.3,164.66,BANK_VARIANCE,0.0,4.9,2
TXN-0000194,C0155,P022,Software,2024-09-17,3,222.79,802.04,668.37,133.67,MATCHED,0.0,0.0,3
TXN-0000195,C0039,P033,Software,2024-11-06,6,46.7,336.23,280.19,56.04,GL_VARIANCE,7.28,0.0,4
TXN-0000196,C0158,P009,Clothing,2024-06-02,3,19.84,71.42,59.52,11.9,MATCHED,0.0,0.0,4
TXN-0000197,C0005,P022,Software,2024-07-07,8,78.81,756.59,630.49,126.1,BANK_VARIANCE,0.0,9.46,2
TXN-0000198,C0153,P044,Software,2024-08-30,5,66.44,398.64,332.2,66.44,MATCHED,0.0,0.0,2
TXN-0000199,C0185,P042,Clothing,2024-01-27,10,10.05,120.55,100.46,20.09,MATCHED,0.0,0.0,4
TXN-0000200,C0038,P031,Software,2024-12-14,10,37.79,453.46,377.88,75.58,MATCHED,0.0,0.0,1
TXN-0000201,C0113,P003,Electronics,2024-06-09,4,305.74,1467.56,1222.97,244.59,MATCHED,0.0,0.0,3
TXN-0000202,C0189,P010,Clothing,2024-02-01,9,7.46,80.6,67.17,13.43,BANK_VARIANCE,0.0,3.09,5
TXN-0000203,C0097,P009,Clothing,2024-06-09,8,9.59,92.02,76.68,15.34,MISSING_IN_GL,0.0,0.0,1
TXN-0000204,C0157,P030,Clothing,2024-09-04,6,18.68,134.51,112.09,22.42,MATCHED,0.0,0.0,1
TXN-0000205,C0181,P016,Electronics,2024-04-16,5,165.33,991.99,826.66,165.33,MATCHED,0.0,0.0,5
TXN-0000206,C0074,P046,Clothing,2024-03-03,9,8.22,88.81,74.01,14.8,MATCHED,0.0,0.0,4
TXN-0000207,C0198,P044,Software,2024-03-15,7,93.91,788.87,657.39,131.48,MATCHED,0.0,0.0,2
TXN-0000208,C0192,P003,Electronics,2024-09-02,6,139.72,1005.96,838.3,167.66,GL_VARIANCE,27.5,0.0,1
TXN-0000209,C0036,P013,Clothing,2024-02-25,9,11.61,125.42,104.52,20.9,MATCHED,0.0,0.0,4
TXN-0000210,C0164,P048,Software,2024-04-29,9,76.68,828.14,690.12,138.02,MATCHED,0.0,0.0,0
TXN-0000211,C0002,P007,Software,2024-10-08,2,279.99,671.98,559.98,112.0,MATCHED,0.0,0.0,1
TXN-0000212,C0194,P027,Software,2024-05-27,8,92.46,887.6,739.67,147.93,GL_VARIANCE,24.06,0.0,2
TXN-0000213,C0190,P019,Clothing,2024-01-20,2,44.06,105.76,88.13,17.63,BANK_VARIANCE,0.0,1.03,1
TXN-0000214,C0127,P027,Software,2024-04-05,1,911.68,1094.02,911.68,182.34,MATCHED,0.0,0.0,5
TXN-0000215,C0086,P019,Clothing,2024-05-25,10,10.89,130.69,108.91,21.78,BANK_VARIANCE,0.0,0.59,3
TXN-0000216,C0120,P042,Clothing,2024-05-19,3,26.3,94.68,78.9,15.78,MISSING_IN_GL,0.0,0.0,1
TXN-0000217,C0004,P008,Services,2024-06-21,5,159.36,956.18,796.82,159.36,MATCHED,0.0,0.0,2
TXN-0000218,C0110,P037,Furniture,2024-09-20,10,30.23,362.78,302.32,60.46,MATCHED,0.0,0.0,2
TXN-0000219,C0064,P006,Software,2024-01-04,3,183.54,660.74,550.62,110.12,GL_VARIANCE,8.92,0.0,2
TXN-0000220,C0150,P025,Software,2024-10-20,6,71.11,511.97,426.64,85.33,MATCHED,0.0,0.0,0
TXN-0000221,C0120,P017,Services,2024-06-06,1,1184.42,1421.3,1184.42,236.88,MATCHED,0.0,0.0,1
TXN-0000222,C0164,P026,Clothing,2024-05-31,5,18.35,110.1,91.75,18.35,MATCHED,0.0,0.0,2
